Hello, this is my output text!Hello, this is my output text!Hello, this is my output text!Hello, this is my output text!Hello, this is my output text!
Hello, this is my output text!Hello, this is my output text!Hello, this is my output text!Hello, this is my output text!
Hello, this is my output text!
Hello, this is my output text!
Hello, this is my output text!
Hello, this is my output text!
Hello, this is my output text!
{dt} - {action} {stockName} at ${currentPrice}. {indicator} is at {indicatorNumber}
2025-02-25 00:34:15.934133+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:34:17.190422+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:34:18.477807+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:34:19.737532+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:34:20.995589+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:34:22.256226+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:34:23.507102+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:34:24.913892+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:34:26.212489+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:34:27.478568+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:34:28.734903+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:34:30.079257+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:34:31.324313+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:34:32.580535+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:34:47.244522+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:34:48.497063+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:34:49.763128+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:34:51.006588+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:34:52.280076+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:34:53.532053+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:34:54.780059+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:34:56.030410+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:34:57.277716+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:34:58.557669+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:34:59.807138+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:36:00.515391+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:36:01.815798+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:36:03.144292+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:36:04.618321+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:36:05.926063+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:36:07.221877+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:36:08.514321+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:36:09.771787+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:36:11.027765+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:36:12.286506+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:36:13.536948+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:36:14.794507+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:36:16.077881+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:36:17.464375+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:36:18.708377+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:36:19.953628+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:38:52.719345+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:38:53.979234+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:38:55.285771+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:38:56.585506+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:38:57.854162+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:38:59.177121+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:00.636557+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:01.994036+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:03.360928+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:04.685768+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:05.938002+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:07.283099+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:08.531708+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:09.794216+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:11.055631+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:12.326971+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:13.612379+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:14.865992+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:16.146464+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:17.399544+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:18.722214+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:20.107986+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:21.376871+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:22.646700+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:24.011205+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:25.315041+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:26.561274+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:27.828089+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:29.065838+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:30.307094+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:31.567307+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:32.839152+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:34.128873+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:35.392236+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:36.686498+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:37.953819+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:39.259534+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:40.787117+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:42.368662+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:43.872678+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:45.129462+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:46.375972+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:47.628237+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:48.874105+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:50.131304+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:51.410076+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:52.664937+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:53.930391+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:39:55.212783+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:39:56.447944+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:39:57.699383+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:39:58.972162+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:40:00.250508+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:40:01.529553+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:40:03.062236+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:40:04.343847+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:40:05.592219+00:00 - buy NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:40:06.870563+00:00 - buy TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:40:08.126936+00:00 - buy ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:40:09.378987+00:00 - buy SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:40:21.457820+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:40:22.700486+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:40:23.997291+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:40:25.250109+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:40:26.528818+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:40:27.827868+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:40:29.134542+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:40:30.366075+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:40:31.639577+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:40:32.951646+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:40:34.200353+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:40:35.510719+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:40:36.782277+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:40:38.116160+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:40:39.407125+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:40:40.742692+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:40:41.988502+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:40:43.260070+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:40:44.580134+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:40:45.868549+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:40:47.251881+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:40:48.579875+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:40:49.827876+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 00:40:51.098555+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 00:40:52.384768+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 00:40:53.635948+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 00:40:54.889985+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 01:02:50.394661+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 01:02:51.661044+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 01:02:52.936710+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 01:02:54.228371+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 01:02:55.711415+00:00 - Skipped RY at $nan. RSI is at 42.56102019621973
2025-02-25 01:02:57.160858+00:00 - sell TD at $nan. RSI is at 60.71205933194024
2025-02-25 01:02:58.572593+00:00 - Skipped ENB at $nan. RSI is at 33.71929515815137
2025-02-25 01:02:59.910835+00:00 - Skipped SHOP at $nan. RSI is at 46.89515057100902
2025-02-25 01:03:01.279842+00:00 - Skipped BAM at $nan. RSI is at 50.20815272872302
2025-02-25 01:03:02.739555+00:00 - Skipped BN at $nan. RSI is at 42.92691812731351
2025-02-25 01:03:47.688428+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 01:03:48.944979+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 01:03:50.220224+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 01:03:51.470566+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 01:03:52.723006+00:00 - Skipped RY at $nan. RSI is at 42.56102019621973
2025-02-25 01:03:54.002585+00:00 - sell TD at $nan. RSI is at 60.71205933194024
2025-02-25 01:03:55.253357+00:00 - Skipped ENB at $nan. RSI is at 33.71929515815137
2025-02-25 01:03:56.535004+00:00 - Skipped SHOP at $nan. RSI is at 46.89515057100902
2025-02-25 01:03:57.777660+00:00 - Skipped BAM at $nan. RSI is at 50.20815272872302
2025-02-25 01:03:59.019996+00:00 - Skipped BN at $nan. RSI is at 42.92691812731351
2025-02-25 01:04:00.459819+00:00 - Skipped BMO at $nan. RSI is at 51.311509480153816
2025-02-25 01:04:01.918670+00:00 - Skipped CNI at $nan. RSI is at 43.727487723172594
2025-02-25 01:04:03.348111+00:00 - Skipped CP at $nan. RSI is at 45.29590728469752
2025-02-25 01:04:04.781206+00:00 - Skipped MGA at $nan. RSI is at 43.023614324068184
2025-02-25 01:04:06.293571+00:00 - Skipped WCN at $nan. RSI is at 59.28646301604691
2025-02-25 01:04:07.734633+00:00 - Skipped MFC at $nan. RSI is at 49.1661966492904
2025-02-25 01:04:09.195663+00:00 - Skipped SLF at $nan. RSI is at 36.717386166043916
2025-02-25 01:04:10.534772+00:00 - Skipped GIB at $nan. RSI is at 37.87062209046505
2025-02-25 01:04:11.923171+00:00 - Skipped OTEX at $nan. RSI is at 37.71689384386845
2025-02-25 01:04:47.986576+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 01:04:49.227919+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 01:04:50.478031+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 01:04:51.722154+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 01:04:53.008664+00:00 - Skipped RY at $nan. RSI is at 42.56102019621973
2025-02-25 01:04:54.259373+00:00 - sell TD at $nan. RSI is at 60.71205933194024
2025-02-25 01:04:55.518634+00:00 - Skipped ENB at $nan. RSI is at 33.71929515815137
2025-02-25 01:04:56.792623+00:00 - Skipped SHOP at $nan. RSI is at 46.89515057100902
2025-02-25 01:04:58.074875+00:00 - Skipped BAM at $nan. RSI is at 50.20815272872302
2025-02-25 01:04:59.338722+00:00 - Skipped BN at $nan. RSI is at 42.92691812731351
2025-02-25 01:05:00.591510+00:00 - Skipped BMO at $nan. RSI is at 51.311509480153816
2025-02-25 01:05:01.863104+00:00 - Skipped CNI at $nan. RSI is at 43.727487723172594
2025-02-25 01:05:03.154416+00:00 - Skipped CP at $nan. RSI is at 45.29590728469752
2025-02-25 01:05:04.436583+00:00 - Skipped MGA at $nan. RSI is at 43.023614324068184
2025-02-25 01:05:05.688654+00:00 - Skipped WCN at $nan. RSI is at 59.28646301604691
2025-02-25 01:05:06.955952+00:00 - Skipped MFC at $nan. RSI is at 49.1661966492904
2025-02-25 01:05:08.478274+00:00 - Skipped SLF at $nan. RSI is at 36.717386166043916
2025-02-25 01:05:09.757395+00:00 - Skipped GIB at $nan. RSI is at 37.87062209046505
2025-02-25 01:05:11.009680+00:00 - Skipped OTEX at $nan. RSI is at 37.71689384386845
2025-02-25 01:05:33.703658+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 01:05:35.143559+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 01:05:36.786933+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 01:05:38.068436+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 01:05:39.349159+00:00 - Skipped RY at $nan. RSI is at 42.56102019621973
2025-02-25 01:05:40.753831+00:00 - sell TD at $nan. RSI is at 60.71205933194024
2025-02-25 01:05:42.089334+00:00 - Skipped ENB at $nan. RSI is at 33.71929515815137
2025-02-25 01:05:43.443416+00:00 - Skipped SHOP at $nan. RSI is at 46.89515057100902
2025-02-25 01:05:44.672703+00:00 - Skipped BAM at $nan. RSI is at 50.20815272872302
2025-02-25 01:05:45.960507+00:00 - Skipped BN at $nan. RSI is at 42.92691812731351
2025-02-25 01:05:47.228986+00:00 - Skipped BMO at $nan. RSI is at 51.311509480153816
2025-02-25 01:05:48.786130+00:00 - Skipped CNI at $nan. RSI is at 43.727487723172594
2025-02-25 01:05:50.041928+00:00 - Skipped CP at $nan. RSI is at 45.29590728469752
2025-02-25 01:05:51.312083+00:00 - Skipped MGA at $nan. RSI is at 43.023614324068184
2025-02-25 01:05:52.592551+00:00 - Skipped WCN at $nan. RSI is at 59.28646301604691
2025-02-25 01:05:53.877551+00:00 - Skipped MFC at $nan. RSI is at 49.1661966492904
2025-02-25 01:05:55.144245+00:00 - Skipped SLF at $nan. RSI is at 36.717386166043916
2025-02-25 01:05:56.726233+00:00 - Skipped GIB at $nan. RSI is at 37.87062209046505
2025-02-25 01:05:58.079628+00:00 - Skipped OTEX at $nan. RSI is at 37.71689384386845
2025-02-25 01:05:59.637614+00:00 - Skipped PBA at $nan. RSI is at 42.19242917097586
2025-02-25 01:06:01.104412+00:00 - Skipped TRP at $nan. RSI is at 34.985384448335935
2025-02-25 01:06:02.378420+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 01:06:03.651299+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 01:06:04.938899+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 01:06:06.220404+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 01:06:07.491294+00:00 - Skipped RY at $nan. RSI is at 42.56102019621973
2025-02-25 01:06:08.770214+00:00 - sell TD at $nan. RSI is at 60.71205933194024
2025-02-25 01:06:10.065908+00:00 - Skipped ENB at $nan. RSI is at 33.71929515815137
2025-02-25 01:06:11.411019+00:00 - Skipped SHOP at $nan. RSI is at 46.89515057100902
2025-02-25 01:06:12.822447+00:00 - Skipped BAM at $nan. RSI is at 50.20815272872302
2025-02-25 01:06:14.119552+00:00 - Skipped BN at $nan. RSI is at 42.92691812731351
2025-02-25 01:06:15.420161+00:00 - Skipped BMO at $nan. RSI is at 51.311509480153816
2025-02-25 01:06:16.735013+00:00 - Skipped CNI at $nan. RSI is at 43.727487723172594
2025-02-25 01:06:18.174819+00:00 - Skipped CP at $nan. RSI is at 45.29590728469752
2025-02-25 01:06:19.835562+00:00 - Skipped MGA at $nan. RSI is at 43.023614324068184
2025-02-25 01:06:21.111090+00:00 - Skipped WCN at $nan. RSI is at 59.28646301604691
2025-02-25 01:06:22.542942+00:00 - Skipped MFC at $nan. RSI is at 49.1661966492904
2025-02-25 01:06:23.809403+00:00 - Skipped SLF at $nan. RSI is at 36.717386166043916
2025-02-25 01:06:25.082350+00:00 - Skipped GIB at $nan. RSI is at 37.87062209046505
2025-02-25 01:06:26.381172+00:00 - Skipped OTEX at $nan. RSI is at 37.71689384386845
2025-02-25 01:06:27.634542+00:00 - Skipped PBA at $nan. RSI is at 42.19242917097586
2025-02-25 01:06:28.925368+00:00 - Skipped TRP at $nan. RSI is at 34.985384448335935
2025-02-25 01:06:30.188549+00:00 - Skipped NVDA at $nan. RSI is at 46.41143375708194
2025-02-25 01:06:31.455119+00:00 - Skipped TSLA at $nan. RSI is at 35.0147733258122
2025-02-25 01:06:32.711622+00:00 - Skipped ARM at $nan. RSI is at 40.436716909838296
2025-02-25 01:06:33.995737+00:00 - Skipped SERV at $nan. RSI is at 38.40431669427016
2025-02-25 01:06:35.273185+00:00 - Skipped RY at $nan. RSI is at 42.56102019621973
2025-02-25 01:06:36.534312+00:00 - sell TD at $nan. RSI is at 60.71205933194024
2025-02-25 01:06:37.824463+00:00 - Skipped ENB at $nan. RSI is at 33.71929515815137
2025-02-25 01:06:39.119087+00:00 - Skipped SHOP at $nan. RSI is at 46.89515057100902
2025-02-25 01:06:40.358195+00:00 - Skipped BAM at $nan. RSI is at 50.20815272872302
2025-02-25 01:06:41.594496+00:00 - Skipped BN at $nan. RSI is at 42.92691812731351
2025-02-25 01:06:42.883946+00:00 - Skipped BMO at $nan. RSI is at 51.311509480153816
2025-02-25 01:06:44.166077+00:00 - Skipped CNI at $nan. RSI is at 43.727487723172594
2025-02-25 01:06:45.417219+00:00 - Skipped CP at $nan. RSI is at 45.29590728469752
2025-02-25 01:06:46.675299+00:00 - Skipped MGA at $nan. RSI is at 43.023614324068184
2025-02-25 01:06:47.951758+00:00 - Skipped WCN at $nan. RSI is at 59.28646301604691
2025-02-25 01:06:49.200876+00:00 - Skipped MFC at $nan. RSI is at 49.1661966492904
2025-02-25 01:06:50.478733+00:00 - Skipped SLF at $nan. RSI is at 36.717386166043916
